ЭКСТРАВАГА́НТНЫЙ;Необычный (вызывающий, оригинальный, своеобразный).;Человек;51;
РЕСПЕКТА́БЕЛЬНЫЙ;Почтенный (представительный, достойный, солидный).;Человек;50;
РЕПРЕ́ССИЯ;Кара (наказание, насилие).;Общая категория;26;
ГОЛКИ́ПЕР;Вратарь.;Общая категория;8;
ИНЦИДЕ́НТ;Происшествие (случай).;Общая категория;22;
ПРЕВЕНТИ́ВНЫЙ;Предупреждающий.;Образование;16;
СКРУПУЛЕ́ЗНЫЙ;Дотошный (педантичный).;Человек;23;
ПОЧЕ́ТНИК;Поклонник, ухаживающий за девушкой (почитатель).;Человек;48;
ПЕРДИМОНО́КЛЬ;Полная ерунда, черт знает что.;Общая категория;30;
ТРАНСЦЕНДЕ́НТНЫЙ;Непознаваемый (иррациональный, непостижимый).;Образование;45;
ОСТРАКИ́ЗМ;Изгнание (травля).;Общая категория;18;
АПРОБИ́РОВАТЬ;Испытывать.;Образование;11;
АБИТУРИЕ́НТ;Тот, кто претендует на поступление в учебное заведение.;Образование;55;
ИНВАРИА́НТНЫЙ;Однозначный.;Образование;12;
КЛЕВРЕ́Т;Приспешник (пособник, сообщник).;Человек;32;
ДЕСТРУКТИ́ВНЫЙ;Разрушительный.;Образование;15;
АННЕ́КСИЯ;Насильственное присоединение.;Общая категория;29;
МАТРИМОНИА́ЛЬНЫЙ;Брачный (супружеский).;Человек;22;
ТЕНДЕНЦИО́ЗНЫЙ;Модный.;Общая категория;7;
ПРОФО́РМА;Формальность.;Общая категория;13;
АПОЛОГЕ́Т;Сторонник (приверженец).;Общая категория;24;
ЭКЗАЛЬТИРО́ВАННЫЙ;Восторженный (возбужденный, воодушевленный).;Общая категория;44;
СИНО́ПСИС;Обозрение.;Образование;10;
МИМИКРИ́Я;Подражание.;Философия;11;
ФРАППИРОВА́ТЬ;Неприятно удивлять.;Философия;19;
КУРА́Ж;Непринужденно-развязное поведение, наигранная смелость.;Человек;55;
МОНОГА́МИ́Я;Умение любить одного единственного человека всю жизнь.;Человек;54;
ФИЛОФО́НИЯ;Коллекционирование звукозаписей.;Общая категория;32;
ДЕФИЛИ́РОВАТЬ;Торжественно проходить, шествовать.;Общая категория;35;
ПРЕВЕНЦИЯ;Предупреждение, предохранение, предотвращение.;Общая категория;46;
ХО́ТСПИС;Медицинское учреждение, в котором неизлечимо больные люди получают необходимую помощь и уход.;Медицина;93;
СОЦИО́НИКА;Наука, изучающая процесс обмена информацией между человеком и внешним миром.;Образование;76;
АПОРИ́Я;Вымышленная, логически верная ситуация или суждение, которое тем не менее не может существовать в реальности.;Философия;109;
ДО́ДИК;Дурачок, простофиля.;Человек;20;
А́ЛЧНОСТЬ;Неумеренная склонность к получению материальных благ.;Общая категория;53;
ТАФОФО́БИЯ;Страх быть похороненным заживо.;Медицина;31;
МОНСТРУА́ЗНЫЙ;Чудовищный, ужасный или нелепый.;Философия;32;
ЭГОИ́ЗМ;Особенность личности или психическое состояние, при которых на первом плане находятся собственные интересы.;Философия;107;
ПАРВЕНЮ́;Человек незнатного происхождения, добившийся доступа в аристократическую среду и подражающий аристократам в своем поведении.;Человек;124;
ДОППЕЛЬГА́НГЕР;Демонический двойник человека, появляющийся как тёмная сторона личности или антитеза ангелу-хранителю.;Религия;102;
САМОАКТУАЛИЗА́ЦИЯ;Стремление человека к возможно более полному выявлению и развитию своих личностных возможностей.;Человек;96;
ОНИХОФА́ГИЯ;Психическое расстройство, выражающееся в навязчивом обкусывании ногтей.;Медицина;71;
ХОЛО́Н;Нечто, одновременно являющееся и целым, и частью чего-то ещё. Например, целый атом является частью целой молекулы.;Философия;114;
СТА́ЛКИНГ;Жаргонное название экстремальных видов индустриального туризма.;Современный сленг;63;
ДЕДЛАЙН;Крайний срок, к которому должна быть выполнена задача.;Современный сленг;54;
ПАСОДО́БЛЬ;Современный испанский бальный танец, имитирующий корриду.;Исскуство;57;
КА́ПЧА;Компьютерный текст, используемый для того, чтобы определить, кем является пользователь системы: человеком или компьютером.;Современный сленг;122;
ВЕНДЕ́ТТА;Кровная месть.;Общая категория;14;
КВО́ТА;Норма, доля или часть чего-либо допускаемого в рамках возможных соглашений и договоров.;Общая категория;87;
ДИСКРЕДИТА́ЦИЯ;Умышленные действия, направленные на подрыв авторитета, имиджа и доверия. Один из приёмов недобросовестной конкуренции.;Бизнес;119;
БУСИДО́;Кодекс самурая, свод правил, рекомендаций и норм поведения истинного воина в обществе, в бою и наедине с собой.;Человек;111;
МНИ́ТЕЛЬНОСТЬ;Болезненная подозрительность, боязнь мнимой угрозы своему здоровью, благополучию.;Человек;81;
ЭМБОЛОФРАЗИ́Я;Явление, связанное с затруднениями при речи. Выражено в добавлении лишних звуков и слов, таких, как а, э, ну, это и т.д.;Медицина;120;
ПАРАЛОГИ́ЗМ;Случайная, неосознанная логическая ошибка в мышлении, возникающая при нарушении законов логики и приводящая к ложному выводу.;Философия;125;
ГИМНОФО́БИЯ;Боязнь наготы.;Медицина;14;
БИ́НДИ;В индуизме это знак правды, цветная точка, которую индианки рисуют в центре лба. также известен, как тилака.;Человек;108;
АПА́РТ;Театральный термин означающий монологи или реплики, направленные в публику.;Исскуство;75;
ИНТЕЛЛЕКТУАЛИЗА́ЦИЯ;Психологический процесс, относимый к механизмам психологической защиты, являющийся попыткой абстрагироваться от своих чувств.;Медицина;125;
КВИ́Р;Термин используется для обозначения любой, не соответствующей традиционной, модели поведения и идентичности.;Философия;108;
АНТАГОНИ́СТ;Нечто, действующее противоположным образом, также соперник.;Философия;59;
ФОРСА́ЙТ;Технология долгосрочного прогнозирования. Итогом форсайта становится общий образ будущего, который ясен для всех участников.;Бизнес;124;
БУТЛЕ́Г;Аудиозапись и/или видеозапись, составленная и распространяемая без санкции правообладателей.;Бизнес;92;
ЧА́ЙКА-МЕ́НЕДЖМЕНТ;Управления, при котором менеджер, налетает на объект, поднимает много шума а затем улетает, оставив после себя полный бедлам.;Бизнес;125;
САПИОСЕКСУА́Л;Тот, кого возбуждают только умные люди.;Человек;39;
НЯ́ША;Дно высохшего озера, заполненное тиной и грязью, болотистая местность на севере европейской части россии.;Образование;105;
ПРОКРАСТУРБА́ЦИЯ;Откладывание важных дел на потом, совмещенное с мастурбацией, приводящее к болезненным психологическим эффектам.;Медицина;112;
ХИКИКОМО́РИ;Японский термин, обозначающий молодёжь, отказывающихся от социальной жизни и зачастую стремящихся к изоляции и уединения.;Современный сленг;121;
АЛГОФО́БИЯ;Одна из специфических фобий, связанная со страхом боли. Причиной её возникновения может стать пережитая ранее сильная боль.;Медицина;123;
САЙКОБИ́ЛЛИ;Жанр рок-музыки, сочетающий экспрессию и агрессивность панк-рока с мелодикой кантри и рокабилли.;Исскуство;96;
ХОБО́;Странствующий рабочий, бродяга.;Человек;31;
ЛЯССЕ́;Узкая лента в книге для закладок страниц, изготовляемая при издании книги.;Общая категория;74;
РЕГРЕ́ССИЯ;Защитный механизм, заключающейся в том, что индивидум отступает на более раннюю стадию развития, более безопасную и приятную.;Философия;125;
ТАВТОГРА́ММА;Текст, все слова которого начинаются на одну букву.;Образование;51;
ПАРАМНЕЗИ́Я;Нарушения и расстройства памяти, выражающиеся в ложных воспоминаниях.;Медицина;69;
ЛЯПАЛИССИА́ДА;Один из видов речевой избыточности, утверждение заведомо очевидных фактов. Пример: «он был мёртв и не скрывал этого».;Философия;117;
СУПРЕ́ССИЯ;Ограничение или полное подавленин любой физиологической активности.;Медицина;67;
СКВОТИ́РОВАНИЕ;Акт самовольного заселения незанятого здания, лицами, не являющимися его юридическими собственниками или арендаторами.;Современный сленг;118;
СКВО́Т;Нелегально занятое помещение.;Современный сленг;29;
ПАНТОГРА́ММЫ;Фразы, которые одинаково читаются на слух, но отличаются различным положением разделителей:.;Общая категория;92;
ПУ́ТЧ;Вооружённый мятеж или государственный переворот, обычно под началом консервативных или праворадикальных сил.;Общая категория;108;
ГИПЕРКИНЕ́ЗЫ;Патологические внезапно возникающие непроизвольные движения в различных группах мышц.;Медицина;85;
БОНСА́Й;Сскусство выращивания точной копии настоящего дерева в миниатюре.;Исскуство;65;
GIGIL;Непреодолимое желание укусить того, кого любишь , вызванное переизбытком чувств.;Чувства;80;
ГИЛОФО́БИЯ;Боязнь леса, заблудиться в лесу.;Медицина;32;
ФИЛИ́ППИКА;В переносном смысле гневная, обличительная речь.;Философия;48;
ИНЕ́РТНОСТЬ;Состояние поглощенности самим собой, при котором индивидуум заботится только об удовлетворении своих потребностей.;Философия;114;
КАСТОМИЗА́ЦИЯ;Адаптирование имеющегося продукта под конкретного потребителя.;Бизнес;62;
КО́ППИНГ;То, что делает человек, чтобы справиться со стрессом.;Человек;53;
ЭКСПАТРИА́ЦИЯ;Временное или постоянное выдворение человека из страны (географической или культурной родины).;Человек;94;
ОПТА́НТ;Человек, подвергаемый опросу, участвующий в исследовании.;Человек;57;
ДЖЕТЛА́Г;Несовпадение ритма человека с дневным ритмом, вызванное быстрой сменой часовых поясов при перелете не самолете.;Медицина;111;
СЕКСОРЦИ́ЗМ;Заниматься сексом с кем-то новым, чтобы забыть кого-то старого.;Чувства;63;
МАРГИНА́ЛИИ;Записи на полях книг, рукописей, писем, содержащик комментарии относительно фрагментов текста или мысли, вызванные ими.;Общая категория;119;
ГЕНОЦИ́Д;Политика, направленная на уничтожение отдельных групп населения по расовым, национальным и т.п. признакам.;Человек;106;
ДЕНОНСА́ЦИЯ;Уведомление о прекращении действия договора.;Бизнес;44;
ДЕСТАБИЛИЗА́ЦИЯ;Нарушение равновесия, создание неустойчивого положения.;Общая категория;55;
СЕ́ЛФИ;Разновидность автопортрета, заключающаяся в запечатлении самого себя на фотокамеру.;Современный сленг;83;
ПЕТРИКО́Р;Запах земли после дождя.;Общая категория;24;
ЭГЛЕ́Т;Металлический или пластиковый наконечник шнурка, облегчающий вдевание шнурков.;Общая категория;78;
ЛУ́НУЛА;Полумесяц у основания ногтя.;Общая категория;28;
НАТИФО́РМА;Природные образования, обычно деревья, скалы, камни, которые напоминают женские формы.;Общая категория;86;
МОНДЕГРИ́Н;Непонятные слова в песнях.;Общая категория;26;
ФОСФЕ́НЫ;Пятна света, которые вы видите, когда закрываете глаза и давите пальцами на глазные яблоки..;Медицина;93;
КОЛЛИ́ВУБЛ;Урчание в животе от голода.;Медицина;27;
ЛАМНИСКА́ТА;Знак бесконечности.;Образование;19;
ИНТЕРРОБА́НГ;Когда вы используете вопросительный и восклицательный знаки одновременно.;Общая категория;73;
ДЕФЕНЕСТРА́ЦИЯ;Акт выбрасывания кого-либо из окна.;Общая категория;35;
ФЛОЭМЫ;Вот такие длинные волокна на кожуре от банана.;Общая категория;46;
АВТА́РКИЯ;Политика обособления страны, стремление создать замкнутое национальное хозяйство.;Общая категория;81;
ИНТЕГРА́ЦИЯ;Процесс политического объединения различных социальных и иных групп, организаций.;Общая категория;81;
ЛЮМПЕ́Н;Деклассированный элемент, опустившийся человек (нищий, бомж и т.п.).;Человек;68;
КАМАРИ́ЛЬЯ;Придворная группа, влияющая на государственные дела.;Общая категория;52;
КОНФРОНТА́ЦИЯ;Противостояние.;Общая категория;15;
КОРРЕЛЯ́ЦИЯ;Соотношение, взаимное отношение предметов, взаимозависимость.;Общая категория;61;
ЛОББИ́ЗМ;Форма давления на законодательный процесс, правительство или на конкретный политический курс.;Общая категория;93;
МАМИХЛАПИНА́ТАНА;Глядеть друг на друга в надежде, что кто-либо согласится сделать то, чего желают обе стороны, но не хотят делать.;Чувства;113;
АПАТРИ́Д;Лицо без гражданства или подданства какой-либо страны.;Человек;54;
ПАНАЦЕ́Я;Мифологическое универсальное средство от всех болезней.;Медицина;55;
ЭВРИБИО́НТЫ;Организмы, способные существовать в широком диапазоне природных условий окружающей среды и выдерживать их изменения.;Образование;116;
ДА́О;Одна из важнейших категорий китайской философии, «путь человека».;Философия;65;
ГРА́Й;Громкий беспорядочный птичий крик, как правило воронье карканье.;Общая категория;64;
ПРОМУЛЬГА́ЦИЯ;Санкционирование главой государства закона в сроки, указанные в конституции, и публикование его в официальном органе печати.;Общая категория;124;
ХРОНОФО́БИЯ;Один из видов фобий, невротический страх времени, проявляющийся в разных формах.;Медицина;80;
РЕНЕГА́Т;Лицо, перешедшее из одного вероисповедания в другое.;Религия;52;
ДЕФИНИ́ЦИЯ;Логическая процедура придания строго фиксированного смысла терминам языка.;Философия;74;
ДЕЛИНКВЕ́НТ;Субъект, чье поведение характеризуется нарушением правовой нормы, в результате чего возникает правоотношения ответственности.;Человек;125;
ИТСИ́ЗМ;Форма религиозного либерализма людей, которые, с одной стороны верят в высшее, но не принимают не одну существующую религию.;Религия;124;
ГОНЗО-ЖУРНАЛИ́СТИКА;Направление в журналистике, представляющее собой глубоко субъективный стиль повествования, ведущегося от первого лица.;Общая категория;118;
ДЕ́МПИНГ;Продажа товаров по искусственно заниженным ценам.;Бизнес;49;
СИНГУЛЯ́РНОСТЬ;Единичность существа, события, явления.;Философия;39;
КОНВЕРГЕ́НЦИЯ;"Процесс сближения, схождения (в разном смысле), компромиссов противоположна дивергенции.";Философия;89;
ИНФА́НДИС;Факт, который настолько компрометирующий, что его следует всегда держать в себе.;Общая категория;80;
ДАКТИЛИО́Н;Медицинское обозначение пальца, а точнее кончика среднего пальца.;Медицина;65;
ЭНОТЕРАПИ́Я;Лечение и профилактика заболеваний непосредственным приёмом вина внутрь.;Медицина;72;
ПРЕЗУ́МПЦИЯ;Предположение о существовании факта, которое считается истинным до тех пор, пока ложность такого факта не будет доказана.;Философия;121;
БАЛИСО́НГ;Складной нож-бабочка.;Общая категория;21;
ЭПОПЕ́Я;Сложная, продолжительная история чего-либо, включающая ряд крупных событий.;Исскуство;75;
ПЕРИПЕТИ́Я;Внезапное осложняющее событие, а также резкое изменение, внезапный поворот в ходе событий, в чьей-нибудь судьбе.;Общая категория;112;
ГАМБИ́Т;Начало шахматной партии, в которой ради скорейшего перехода в нападении жертвуют пешкой или фигурой.;Общая категория;100;
Я́ГА;Шуба мехом наружу.;Общая категория;18;
АФЕ́Й;Безбожник, атеист.;Религия;18;
ЛАФИ́ТНИК;Большая рюмка удлиненной формы.;Общая категория;31;
АМБИДЕКСТРИ́Я;Двуправорукость, способность одинаково хорошо владеть правой и левой рукой.;Человек;75;
АУТОГЕ́ННЫЙ;Возникающий в самом организме.;Общая категория;30;
ЭКСТАТИ́ЧЕСКИЙ;Вызванный экстазом.;Чувства;19;
ЭКСАУДИРИ́ЗМ;Подслушивание.;Общая категория;14;
СИБАРИ́ЗМ;Праздность, избалованность роскошью.;Общая категория;36;
КОМЕРА́Ж;Светское злословие, пересуды, сплетни.;Общая категория;38;
ПАУПЕРИЗА́ЦИЯ;Массовое обнищание.;Общая категория;19;
ДРОМОМА́НИЯ;Импульсивное влечение к перемене мест (побеги из дома и т.п.).;Общая категория;62;
ФЛАНИ́РОВАТЬ;Прогуливаться без цели, бродить.;Человек;32;
ЭНИССОФО́БИЯ;Боязнь критики.;Медицина;15;
ЭКСГУМА́ЦИЯ;Извлечение трупа из места его захоронения.;Медицина;42;
ТЕЛЕГО́НИЯ;Учение о влиянии генотипа первого самца женской особи на наследственные признаки её потомства от последующих партнеров.;Религия;119;
ТАКСИДЕРМИ́Я;Изготовление чучел животных.;Общая категория;28;
БИБЛИОТА́Ф;Владелец библиотеки, не позволяющий никому пользоваться своими книгами.;Человек;71;
ДИСАНИ́Я;Состояние, при котором тяжело с утра встать с постели.;Медицина;54;
МЕТОНИМИ́Я;Оборот речизамена одного слова другим, смежным по значению, например стол вместо еда.;Общая категория;85;
БРУЦЕЛЛЕ́З;Инфекционная болезнь, передающаяся от животных человеку, поражающая нервную, сердечно-сосудистую системы.;Медицина;105;
ДЕДУ́КЦИЯ;Способ рассуждения от общих положений к частным выводам.;Философия;56;
КАМЕРДИ́НЕР;Слуга при господине в богатом дворянском доме.;Человек;46;
АСКЕТИ́ЗМ;Образ жизни, при котором человек отказывается от внешнего комфорта и наслаждений ради духовного совершенствования.;Философия;114;
ВЕ́ЛНЕС;Концепция здорового образа жизни, основанная на сочетании физического здоровья и правильного питания.;Медицина;101;
АМПЕРСА́НД;Название знака «&», обозначающего в английском языке союз «and» («и»). ;Общая категория;71;
СТА́ТУС-КВО́;Правовое положение, обозначение которого широко применяется в юриспруденции. это «текущее или существующее положение дел».;Общая категория;122;
ХУ́НТА;Группа военных,пришедшая к власти насильственным путём в результате переворота.;Общая категория;79;
ФЕЕ́РИЯ;Использование волшебных элементов для раскрытия полноты сюжета, основной мысли текста.;Исскуство;86;
РАТИФИКА́ЦИЯ;Процесс придания юридической силы документу, путём утверждения его соответствующим органом каждой из сторон.;Общая категория;108;
ФУЦИА́НСТВО;Состояние разума которое заставляет человека поступать против своей воли. ;Человек;74;
ВА́БИ-СА́БИ;Возможность увидеть нечто прекрасное в несовершенстве.;Философия;54;
ДЖА́МАЙСВЮ;То, что происходит, когда вы говорите одно слово так долго, что оно теряет смысл. Пример-это было поза поза поза...позавчера.;Общая категория;125;
АТТАШЕ́;Должностное лицо при дипломатическом представительстве.;Общая категория;55;
КАРО́СИ;Внезапная смерть на рабочем месте, вызванная усталостью и переутомлением.;Человек;73;
АМО́РФНЫЙ;Бесформенно-расплывчатый.;Общая категория;25;
ДЕПЕ́ША;Спешное дипломатическое уведомление.;Общая категория;36;
ПАТЕТИ́ЧЕСКИЙ;Страстный, взволнованный, исполненный пафоса.;Общая категория;45;
ЭФЕМЕ́РНОСТЬ;Обманчивость, мимолетность, недолговечность, призрачность.;Общая категория;58;
ЕПИ́СКОП;Священнослужитель третьей, высшей степени священства, иначе архиерей.;Религия;69;
МО́ЛЬ;Единица количества вещества в си.;Образование;33;
КЕ́ЙФ;Состояние эйфории, довольства, комфорта, прилива сил, приятного самоощущения, большой легкости.;Чувства;95;
АГОРАФО́БИЯ;Боязнь пространства, открытых мест, площадей, приводящая к тому, что больной не может перейти малолюдную улицу или площадь.;Медицина;123;
ДЖИХА́Д;Понятие в исламе, означающее усердие на пути аллаха: борьбу со своими духовными или социальными пороками.;Религия;105;
ОФЕ́НЯ;В дореволюционной россии: торговец, вразнос продающий галантерейные товары, книжки, лубочные картинки.;Человек;102;
МУА́Р;Плотная шёлковая или полушелковая ткань с волнообразными переливами разных цветовых оттенков.;Общая категория;93;
ИНСИ́ГНИИ;Внешние знаки могущества, власти или сана.;Общая категория;42;
ГЕБЕФРЕНИ́Я;Психическое расстройство, характерезующееся шутовским поведением, неконтролируемым ребячеством.;Медицина;95;
ФИЛИГИЗГИ́МНИЧАТЬ;Вести себя странно, необычно.;Человек;29;
МНЕМОФО́БИЯ;Патологическая боязнь воспоминаний.;Медицина;35;
ЛИКБЕ́З;Массовое обучение неграмотных взрослых чтению и письму в советской россии и ссср.;Образование;81;
ИЗОПРАКСИ́ЗМ;Термин в психологии, который означает повторение на подсознательном уровне действий (жесты, позы) одного собеседника другим.;Медицина;124;
КОРРИГИ́РОВАТЬ;Вносить поправки, исправлять.;Общая категория;29;
РАЗБАХО́РИТЬСЯ;"Разговориться, разбеседоваться";Общая категория;32;
МУЗОВЕ́Р;Безбожник, неверный, басурман, злодей.;Религия;38;
УМОПОМЕША́ТЕЛЬСТВО;Психическое расстройство, сумасшествие.;Медицина;39;
ПЕДА́НТ;Человек, излишне строгий в выполнении всех формальных требований ”в науке, в жизни”.;Человек;84;
ОБЕСКУРА́ЖИТЬ;Лишить уверенности в себе, привести в состояние растерянности, озадачить.;Чувства;73;
ДЕ́РЗКИЙ;Вызывающе смелый, выказывающий пренебрежение к возможному сопротивлению, противодействию опасности.;Общая категория;99;
ШАЛОПУ́ТНЫЙ;Сумасбродный и легкомысленный, непутевый.;Человек;41;
БЛАГОРО́ДСТВО;Высокая нравственность, самоотверженность и честность.;Философия;54;
СУБТИ́ЛЬНОСТЬ;Хрупкость, нежность.;Общая категория;20;
ОНЕЙРОФО́БИЯ;Боязнь снов.;Медицина;12;
ДОФЕНИ́ЗМ;Равнодушие, пофигизм, безразличие.;Общая категория;34;
АРХЕ́;Термин древнегреческой философии, обозначающий первоначало, принцип.;Философия;68;
ГЛУ́М;Шутка, смех, насмешка, потеха, забава, пересмешка.;Общая категория;50;
ПАРИ́ТЕТ;Равенство двух или более сторон взаимоотношений по каким-либо параметрам.;Общая категория;73;
ТРАНСЦЕНДЕ́НТНЫЙ;То, что запредельно по отношению к миру явлений и недоступно теоретическому познанию.;Философия;85;
МАМИХЛАПИНАТА́ПЕЙ;Люди, смотрящие друг на друга, каждый из которых надеется,что второй сделает шаг к тому, что хотят оба, но не решаются начать;Человек;125;
ЗАЗНО́БА;Девочка/девушка/женщина, являющаяся объектом чьей-либо влюблённости по отношению к тому, кто в неё влюблён.;Человек;107;
САТИСФА́КЦИЯ;Удовлетворение за оскорбление чести.;Философия;36;
ИНДУЛЬГИ́РОВАНИЕ;Подмена действия рассуждениями о нем.;Философия;37;
ШАНТРАПА́;Никчемный, никуда не годный человек.;Человек;36;
ЭЛОКВЕ́НЦИЯ;Ораторское искусство, красноречие.;Общая категория;34;
ОКСИМОРО́Н;Сочетание слов с противоположным значением (то есть сочетание несочетаемого).;Общая категория;77;
НОСТОФО́БИЯ;Боязнь возвращаться домой.;Чувства;26;
ЩЕДУ́ШНЫЙ;Тощий, худой, изнуренный, слабый.;Человек;33;
АБСЕНТЕИ́ЗМ;Уклонение от использования своих гражданских прав, например, от участия в голосовании при выборах.;Общая категория;98;
ФИЛИЦИ́Д;Убийство собственных детей.;Общая категория;27;
АПИФО́БИЯ;Страх перед пчелами и осами.;Медицина;28;
ЖУ́ПЕЛ;Нечто, внушающее страх, отвращение. То, чем пугают.;Чувства;51;
ГИПЕРГЕДО́НИЯ;Повышенное влечение к получению наслаждений, развлечениям.;Чувства;58;
НЕОФО́БИЯ;Патологический страх перед всем новым, непривычным.;Медицина;51;
БРЕТЁР;Заядлый дуэлянт, готовый драться на дуэли по любому поводу. В более широком значении, бретёрзадира, забияка, скандалист.;Человек;120;
ДРИА́ДА;В греч. мифологиилесная нимфа.;Общая категория;30;
Е́РЕСЬ;Чепуха, бессмыслица.;Общая категория;20;
ИЗЛЫНДЫВАТЬ;Ссходить, избегать по-пустому, побывать всюду, прошататься в разных местах, привыкнуть бродить праздно.;Общая категория;103;
КОНТРАЖУ́Р;Светофото или киносъемка, при которой источник света расположен позади объекта съемки.;Общая категория;86;
КИБОФО́БИЯ;Патологическая боязнь еды.;Медицина;26;
ФРА́НТ;Нарядно одетый человек, щеголь, модник.;Человек;39;
ПУРИТА́НСТВО;Образ жизни, для которого характерны крайняя строгость нравов и аскетическое ограничение потребностей.;Общая категория;102;
АККОЛА́ДА;В средние века часть обряда посвящения в рыцари: удар плашмя мечом по плечу.;Общая категория;76;
ГРИЗЕ́ТКА;Молодая женщина не очень строгих правил.;Человек;40;
ФАРТО́ВЫЙ;Удачливый, Такой, которому всё сходит с рук;Человек;45;
КОМИЛЬФО́;Приличный, соответствующий правилам хорошего тона.;Общая категория;50;
СУВЕРЕНИТЕ́Т;Свободное, независимое от каких-либо внешних сил верховенство.;Общая категория;62;
ПРА́ЙД;Семейная стая львов.;Общая категория;20;
ЭГОИ́СТКА;Экипаж для одного седока.;Общая категория;25;
ФАНТАСМАГО́РИЯ;Причудливая картина, рисующаяся человеку в его болезненно-расстроенном воображении.;Общая категория;83;
ЛАНИ́ТЫ;Боковые части лица человека от скулы до нижней челюсти, щеки.;Человек;61;
ПУРГАТО́РИЙ;Чистилище, место, где души праведных оканчивают искупление грехов, совершенных в течение жизни (по учению катол. церкви).;Религия;121;
РАБА́ТКА;Это длинная узкая грядка с цветами, окаймляющая что-либо.;Общая категория;57;
ЭПИСТА́КСИС;Кровотечение из носа.;Медицина;21;
НО_ПАСАРА́Н;Политический лозунг, выражающий твердое намерение защищать свою позицию.;Общая категория;72;
ПАТЕ́ТИКА;Пафос, страсть, приподнятость.;Чувства;30;
НАИ́ТИЕ;Вдохновение, инициация.;Чувства;23;
БРАВА́ДА;Вызывающее поведение.;Общая категория;21;
ДЕЗАБИЛЬЕ́;Легкая, простая домашняя одежда, которую не носят при посторонних.;Общая категория;66;
ЛИКАНТРОПИ́Я;Мифическая или волшебная болезнь, вызывающая метаморфозы в теле, в ходе которых больной превращается в волка;Общая категория;108;
ШИРИ́НКА;Полотнище, кусок ткани во всю ширину, платок (обычно с шитьем), полотенце, скатерть.;Общая категория;84;
